Number of Open Accounts,Years of Credit History,Maximum Open Credit,Current Loan Amount,Current Credit Balance,Monthly Debt,Annual Income,Months since last delinquent,Home Ownership,Term,Years in current job,Credit Default
19,25,1303082,265188,495178,28247,1526840,14,-0.193546938,-0.235664764,0.126700744,1
6,10.2,802692,43978,550430,21839,1899050,25,0.180264064,-0.235664764,-0.1128066,0
8,14.5,409222,667458,206758,18846,1661419.875,14,-0.193546938,0.583192905,0.013849095,1
13,18,608652,122936,221825,10806,1029712.183,27,0.180264064,-0.235664764,-0.1128066,1
15,17.6,1480182,120670,58805,10200,1395645,75,0.180264064,-0.235664764,0.013849095,0
12,7.6,337722,175384,160417,21868,852017,53,-0.193546938,-0.235664764,0.013849095,1
13,23.7,339724,246004,198341,14670,709821,65,0.180264064,0.583192905,0.126700744,1
20,15,763422,241230,306584,9014,1350349,10,0.180264064,-0.235664764,0.126700744,0
10,9.4,348678,191136,165927,12031,1042905.153,57,-0.193546938,-0.235664764,0.126700744,1
17,15.4,380052288,33110,656450,34357,1334256,35,-0.193546938,-0.235664764,0.126700744,0
6,27.3,263604,99999999,121353,23527,1721457,6,-0.193546938,-0.235664764,0.126700744,0
18,18,1447468,215490,612541,24039,1231093.661,44,0.092368046,-0.235664764,-0.1128066,0
14,18.7,252670,323796,94696,25005,1155583.429,29,-0.193546938,0.583192905,-0.68396445,1
6,22.2,279642,220308,181127,9379,665931,49,0.180264064,0.583192905,-0.1128066,0
8,9.5,564168,265320,183198,13137,916560,35,0.180264064,-0.235664764,-0.1128066,0
19,34.4,1685794,768922,267881,13889,2276808,8,-0.193546938,0.583192905,0.126700744,0
7,17.6,293766,175516,149948,3767,1058502.105,71,-0.193546938,-0.235664764,0.126700744,1
7,18,89100,130328,39235,18351,1186289.062,13,0.180264064,0.583192905,0.013849095,0
7,19.2,458590,468138,2774,12865,1520969,60,0.180264064,-0.235664764,0.126700744,0
7,16.3,37290,71258,27569,12592,719549,24,0.180264064,0.583192905,0.013849095,1
9,10.7,642092,312026,296685,13006,1154627.486,65,0.180264064,-0.235664764,0.126700744,1
10,17.3,697114,230362,260680,6181,1630029,38,-0.193546938,0.583192905,-0.68396445,0
8,16,233420,333564,122569,23949,1670860,61,-0.193546938,0.583192905,0.013849095,0
7,16.6,197120,177166,114741,12671,573762,54,0.180264064,-0.235664764,0.126700744,1
10,15.6,697642,156508,398259,28077,1190742.152,36,0.180264064,-0.235664764,0.126700744,0
11,11.3,693418,266398,147915,21461,1316211.085,56,-0.193546938,-0.235664764,0.126700744,0
10,22.2,660374,482152,494475,39559,2157773,13,0.180264064,-0.235664764,0.013849095,0
12,17.5,700062,525998,174135,9320,1408527,21,-0.193546938,0.583192905,0.013849095,1
5,16.3,96998,148632,29982,6498,613966,40,-0.193546938,-0.235664764,0.013849095,0
8,13.1,797874,308616,360392,35030,1447305.06,37,0.180264064,-0.235664764,0.126700744,0
9,16,778448,462000,414808,19950,1140000,44,0.180264064,0.583192905,0.126700744,0
9,12.1,862422,351670,155667,4773,1631644,46,-0.193546938,-0.235664764,-0.68396445,1
17,32.5,2322650,448184,136401,29320,1705146.362,24,0.092368046,-0.235664764,0.126700744,0
12,15.7,632170,99999999,251693,8622,808298,30,0.180264064,-0.235664764,-0.1128066,0
7,9,415250,174438,185402,7735,1212624.628,33,0.180264064,-0.235664764,0.126700744,0
11,18.1,227876,108504,104899,10351,985815,51,0.180264064,-0.235664764,-0.68396445,1
6,36.8,263934,111848,60173,16918,1230368.915,70,0.180264064,0.583192905,0.126700744,0
6,16.5,655292,109384,294291,16606,1001357,66,-0.193546938,-0.235664764,0.013849095,0
13,17.2,1211430,381106,636101,51205,2539103,21,-0.193546938,-0.235664764,0.013849095,0
17,18,9339924,592240,959899,16813,1301614,34,-0.193546938,-0.235664764,-0.1128066,0
9,18,769604,390258,429381,19188,1934884,51,-0.193546938,-0.235664764,-0.1128066,0
11,14.8,715462,210826,285475,18147,1533566,19,-0.193546938,-0.235664764,0.013849095,1
18,32,2672516,741774,678585,17991,1375068,22,-0.193546938,0.583192905,0.126700744,0
13,19.4,551320,100144,167599,12648,1041675,16,-0.193546938,-0.235664764,0.126700744,0
6,16.9,0,165924,0,9021,601369,14,0.180264064,-0.235664764,0.126700744,0
12,12.9,384736,276562,275462,25863,1642075,14,-0.193546938,-0.235664764,0.126700744,0
5,6.1,249810,337502,119529,15215,1049294,48,0.180264064,-0.235664764,-0.1128066,1
8,20.5,657360,199936,250933,13565,805828,38,-0.193546938,-0.235664764,-0.1128066,0
13,11.4,383548,210518,276583,11553,757568,19,0.180264064,-0.235664764,-0.1128066,1
17,20.6,613954,196130,181336,16251,1242087,36,0.180264064,-0.235664764,0.126700744,1
9,39.6,644204,99999999,224770,4326,337079,0,0.092368046,-0.235664764,0.126700744,0
10,16.3,796312,333564,320473,16645,960260,34,0.180264064,0.583192905,0.126700744,0
7,8.5,576378,299376,210064,6555,708624,50,-0.193546938,-0.235664764,-0.1128066,0
7,18.8,593472,405944,432060,19511,1510538,45,0.180264064,0.583192905,0.126700744,0
10,31.3,520740,99999999,332804,12148,1194834,30,0.180264064,-0.235664764,-0.1128066,0
16,17.6,1158630,343772,218139,5996,1419327.444,71,0.180264064,-0.235664764,0.126700744,0
14,11.9,300740,90178,157149,14324,1146040.091,73,0.180264064,-0.235664764,-0.1128066,0
7,23.9,351516,99999999,10925,9755,1390306,52,0.180264064,-0.235664764,-0.68396445,0
14,14.6,602954,99999999,216106,12258,1131545,44,0.180264064,0.583192905,-0.1128066,0
9,13.8,259842,151514,160455,13511,1216896.804,18,-0.193546938,-0.235664764,0.013849095,0
14,18,283448,243694,194598,15306,1530640,61,-0.193546938,-0.235664764,0.126700744,0
11,8,141020,379698,95247,10478,1030579,40,0.180264064,0.583192905,0.126700744,1
10,23.8,147950,224246,95456,13780,1039984,63,-0.193546938,-0.235664764,0.126700744,1
10,12.2,325490,223322,168663,15076,1350083,29,-0.193546938,0.583192905,-0.1128066,0
9,17,372878,460438,285323,24974,1637629,37,-0.193546938,-0.235664764,0.126700744,0
12,6,288772,109318,82308,11611,566409,66,0.180264064,-0.235664764,-0.1128066,0
8,6.4,405284,182336,158555,21091,1187105.132,23,-0.193546938,-0.235664764,-0.1128066,0
10,9.8,251900,99999999,41762,7600,405346,5,0.180264064,-0.235664764,0.013849095,0
9,10.3,330176,176286,124602,6968,494798,17,0.180264064,-0.235664764,0.013849095,1
11,21.7,1046694,749276,854240,25376,2379047,27,-0.193546938,0.583192905,0.126700744,0
14,17.7,1467620,648648,996246,42987,2334150,42,-0.193546938,-0.235664764,0.013849095,0
9,20.5,847990,545336,186751,12214,1933573,36,-0.193546938,-0.235664764,0.013849095,0
15,13.2,697004,221364,164331,12841,1242657,59,-0.193546938,0.583192905,0.126700744,0
8,33.6,651794,108218,401356,15390,1161685.304,13,-0.193546938,-0.235664764,0.126700744,0
8,18,909018,434324,372115,6509,1594176,43,-0.193546938,0.583192905,0.126700744,1
17,21.7,4477858,326348,1009356,16441,1878910,1,-0.193546938,-0.235664764,0.126700744,0
14,19.1,349844,326700,58007,15001,564300,13,-0.193546938,0.583192905,0.126700744,1
11,14.1,296692,110792,187321,19964,1196662.92,74,0.180264064,-0.235664764,-0.1128066,0
7,18.8,385242,78628,159695,17971,1219724,17,0.180264064,0.583192905,0.126700744,1
6,23,935814,137566,661922,23642,3694037,4,-0.193546938,-0.235664764,0.126700744,1
10,15.5,209220,337502,103360,18460,1419327.444,8,-0.193546938,-0.235664764,0.013849095,0
12,21.2,196460,128370,88236,10497,968924,35,0.180264064,-0.235664764,0.126700744,1
11,27.3,235620,116226,105811,11566,606062,55,0.180264064,-0.235664764,-0.68396445,0
6,20.4,249392,331056,152285,10321,1171121.298,56,0.092368046,-0.235664764,0.126700744,1
16,20.7,612216,412852,378062,25810,1171472.805,42,0.180264064,0.583192905,0.126700744,1
11,20.1,414502,99999999,156427,3912,700625,68,-0.193546938,-0.235664764,-0.68396445,0
17,7.8,1387606,99999999,293607,19183,2676758,13,-0.193546938,-0.235664764,0.126700744,0
16,16.5,561462,143792,207537,9582,395124,21,-0.193546938,-0.235664764,-0.1128066,1
12,16.8,362032,430980,229482,15794,1614028.292,35,-0.193546938,-0.235664764,0.126700744,0
7,16,1286186,99999999,242155,2953,1440257,30,-0.193546938,-0.235664764,0.013849095,0
19,20.8,957550,345884,619419,18055,1026817,26,-0.193546938,0.583192905,0.126700744,1
7,14.5,329890,325578,207138,12934,749816,33,0.180264064,-0.235664764,-0.1128066,1
10,33.7,763906,212674,502075,14388,918384,11,-0.193546938,-0.235664764,0.126700744,0
4,14.2,730466,614086,383553,6911,1988825,41,-0.193546938,-0.235664764,0.126700744,0
5,16,131230,266904,88407,7566,901588,55,0.180264064,0.583192905,0.126700744,1
10,20.2,1417042,440308,671878,33841,1709531.125,17,-0.193546938,-0.235664764,0.013849095,0
5,16.7,525778,99999999,53580,1683,756276,30,0.180264064,0.583192905,0.013849095,0
15,31.7,4191176,269258,3547262,20783,2131591,34,-0.193546938,-0.235664764,0.126700744,0
15,16.6,667480,783332,328016,64751,2899305,30,-0.193546938,0.583192905,0.126700744,0
7,18.6,601766,327888,220875,13936,1951319,30,-0.193546938,-0.235664764,0.013849095,0
18,25.5,1553530,99999999,633289,94674,4580976,30,-0.193546938,0.583192905,0.013849095,0
7,23.3,522104,436524,257013,19897,1808800,61,-0.193546938,0.583192905,-0.1128066,0
23,17.8,1267530,99999999,839629,39064,2379522,37,-0.193546938,-0.235664764,0.013849095,0
13,31.4,2170894,465234,628083,30150,2334226,26,-0.193546938,-0.235664764,-0.68396445,0
10,17.9,274934,151184,163362,13221,848426,18,0.180264064,-0.235664764,0.126700744,1
17,12,671176,290686,213902,17660,1197323,35,0.180264064,-0.235664764,-0.1128066,0
16,19.4,559020,326524,438862,20960,708491,21,0.092368046,-0.235664764,0.126700744,1
9,20.5,552662,541530,368486,26056,1281455,41,-0.193546938,0.583192905,-0.1128066,0
7,9.5,237138,61402,58159,3091,833416,59,0.092368046,-0.235664764,0.126700744,0
7,7.8,652762,87406,187169,9872,696863,28,0.180264064,-0.235664764,0.013849095,0
11,34,465124,523886,272745,32009,2356475,14,-0.193546938,-0.235664764,0.126700744,0
17,20.6,1824306,626538,967385,63515,1793260.11,47,-0.193546938,0.583192905,-0.1128066,0
12,4.8,943360,144958,97774,3060,597075,31,0.180264064,-0.235664764,0.013849095,0
9,9.1,101442,40546,51585,4553,972219.0765,3,0.092368046,-0.235664764,0.126700744,1
19,10.1,1115114,264572,471903,24350,1770895,68,-0.193546938,-0.235664764,0.126700744,0
7,23.4,180488,646800,13870,17763,2010960,40,-0.193546938,-0.235664764,0.126700744,0
24,20.5,2940916,260414,985473,40120,1314270.848,26,-0.193546938,0.583192905,-0.1128066,0
16,32,1630618,615318,1080131,42513,2657074,14,-0.193546938,-0.235664764,0.013849095,1
24,19.7,707630,322630,400900,26470,1857554,11,0.180264064,-0.235664764,0.013849095,0
23,10.5,450626,114488,101574,10799,479940,18,0.180264064,-0.235664764,-0.1128066,1
17,14.5,868538,99999999,182267,17817,929575,30,0.180264064,-0.235664764,0.126700744,0
19,30,611798,562100,284791,22562,1417514,32,0.180264064,-0.235664764,0.126700744,1
3,8.8,0,218042,0,5855,815157,57,0.180264064,-0.235664764,0.013849095,0
9,10.6,283096,261140,95342,15678,1221662,26,-0.193546938,-0.235664764,0.013849095,1
11,13.3,840048,332640,587651,18520,2298240,41,0.180264064,-0.235664764,0.126700744,1
12,26,402556,61248,233966,35919,1738044,76,-0.193546938,-0.235664764,0.013849095,0
12,20.9,700942,215754,494589,21801,1341590,30,-0.193546938,-0.235664764,-0.68396445,0
7,15,402886,178002,265506,17615,1204565.414,71,-0.193546938,-0.235664764,0.013849095,0
10,15.4,271832,377652,170677,4597,1077490,12,0.180264064,0.583192905,0.126700744,0
12,10.8,362406,268334,231610,11259,637279,31,0.180264064,-0.235664764,0.013849095,0
12,40.3,607684,124652,455544,25979,1304407,25,-0.193546938,-0.235664764,0.013849095,1
16,14.4,635052,99999999,329631,30327,1130196,8,0.180264064,0.583192905,0.013849095,0
9,15.8,313478,221342,137807,12387,917567,37,-0.193546938,-0.235664764,0.126700744,0
12,22.4,359876,112420,299307,19370,679630,45,0.092368046,-0.235664764,0.126700744,0
18,17.3,1540198,218988,95779,15642,1249528.148,43,0.180264064,-0.235664764,0.013849095,0
10,21.5,305756,332288,202806,21355,1175263.816,65,-0.193546938,-0.235664764,0.126700744,1
15,26.4,1043658,263780,517370,21288,1101126,19,-0.193546938,-0.235664764,0.126700744,0
11,20.5,238326,131384,45904,7414,567378,24,0.180264064,-0.235664764,0.013849095,0
6,30,290136,133848,136306,24689,1627825,7,-0.193546938,-0.235664764,0.126700744,0
19,22.4,2847174,715682,287698,33084,1733674,45,-0.193546938,-0.235664764,0.126700744,1
9,9.8,455048,225984,311258,14015,564357,77,0.180264064,-0.235664764,0.013849095,0
4,15.3,286044,261514,237405,6837,656336,36,-0.193546938,-0.235664764,-0.1128066,1
20,9.6,141570,134838,86811,3303,892791,34,0.180264064,-0.235664764,0.013849095,0
9,21.8,650562,108372,383743,7886,1161685.304,32,0.180264064,-0.235664764,0.013849095,0
15,12.2,776160,542080,350569,16048,1226583,41,-0.193546938,0.583192905,0.013849095,0
12,38.7,836220,128744,578474,14354,509599,38,-0.193546938,-0.235664764,-0.68396445,0
6,26.6,495924,187594,174325,4906,486552,33,-0.193546938,-0.235664764,0.126700744,1
15,20.1,641432,271810,232655,45791,2065756,16,-0.193546938,-0.235664764,-0.1128066,0
7,11.8,96800,51612,74233,5146,835601,48,0.180264064,-0.235664764,0.013849095,0
5,24.3,47938,39138,9310,8453,563502,63,0.180264064,-0.235664764,0.013849095,0
12,19.7,1051688,423720,618545,43383,1553926.988,41,-0.193546938,-0.235664764,-0.1128066,0
14,18.5,651310,322124,473632,23570,1159152,14,-0.193546938,-0.235664764,0.126700744,0
9,13.8,951676,603812,329593,12664,1795785.755,17,-0.193546938,-0.235664764,-0.1128066,0
14,16,421850,133210,241547,31575,1533984,55,0.092368046,-0.235664764,0.013849095,1
17,20.7,269148,269148,175503,32983,1310792.828,31,-0.193546938,-0.235664764,0.126700744,0
12,15.1,1226390,365090,134520,3137,863341,31,0.092368046,-0.235664764,0.126700744,1
11,13,164780,93500,80693,16933,749816,75,0.180264064,-0.235664764,0.013849095,0
8,17.7,268070,265716,198645,13554,860567,22,0.180264064,-0.235664764,0.013849095,0
6,23.4,649770,99999999,45448,906,1325212,30,0.180264064,-0.235664764,0.126700744,0
8,21.5,901516,99999999,478819,11190,1119024,30,-0.193546938,-0.235664764,0.126700744,0
3,30.1,749144,71720,32357,2070,446025,31,0.180264064,-0.235664764,0.126700744,0
7,52.2,711524,429880,500802,41024,1893426,36,-0.193546938,0.583192905,0.126700744,1
12,24.5,657052,534644,347852,18341,1539152,14,-0.193546938,-0.235664764,0.013849095,0
4,22.5,281512,112728,38893,8031,584079,40,-0.193546938,-0.235664764,-0.1128066,0
6,19.4,63184,107976,29089,14465,730835,11,0.180264064,-0.235664764,0.013849095,1
6,26.6,200420,174108,84303,2220,699162,70,0.180264064,-0.235664764,-0.68396445,0
11,36.5,928598,358974,441085,18601,1162572,41,-0.193546938,0.583192905,0.013849095,0
12,17.2,1553596,534292,474981,31002,1730349,37,-0.193546938,0.583192905,0.126700744,1
6,19.7,291082,99999999,236816,3488,857660,0,0.180264064,-0.235664764,0.126700744,0
10,17.9,190190,151118,44194,17596,699181,64,0.180264064,-0.235664764,-0.1128066,0
10,27.7,988350,99999999,29013,10147,1636622,41,-0.193546938,-0.235664764,0.013849095,0
11,23.3,1155924,309430,618944,16907,1418768,35,-0.193546938,-0.235664764,0.126700744,0
12,16.3,653202,304392,200830,26445,1412675.579,5,0.180264064,-0.235664764,0.013849095,0
13,19.4,351208,173514,209893,24839,1910678,39,-0.193546938,-0.235664764,0.126700744,1
8,20,228712,150942,121277,13222,1186810.563,52,0.092368046,-0.235664764,0.126700744,0
13,26.5,846582,421212,628064,60805,3542075,45,-0.193546938,0.583192905,0.126700744,0
5,16.5,130746,159456,93822,27527,2104003,29,-0.193546938,-0.235664764,0.013849095,1
5,8.3,329054,154132,149188,3422,665532,44,0.092368046,-0.235664764,0.013849095,1
11,14,558250,129206,24586,930,1190300.409,25,0.092368046,-0.235664764,0.126700744,0
10,13.5,858242,152768,340955,19241,1319360,32,0.180264064,-0.235664764,0.013849095,0
8,15,888536,374220,307724,13427,1425855,14,-0.193546938,-0.235664764,0.126700744,0
8,12.9,174394,237446,134653,16702,954389,19,0.180264064,-0.235664764,0.126700744,1
25,42.1,1584308,448712,1082297,46648,2073261,24,-0.193546938,-0.235664764,-0.68396445,0
8,21.6,887502,152988,270560,11270,1063075.783,44,-0.193546938,-0.235664764,-0.1128066,1
13,16.7,151514,156772,127471,16087,1010724,78,0.180264064,-0.235664764,0.126700744,0
7,16.9,434984,510884,323076,16546,1502968.143,70,-0.193546938,0.583192905,-0.1128066,1
17,23.3,1051886,784322,518738,95508,1726830.187,39,-0.193546938,-0.235664764,0.126700744,1
11,18.3,317922,193248,261383,48917,1726492,58,-0.193546938,-0.235664764,0.126700744,1
4,14.3,129096,172172,96881,3102,706268,20,-0.193546938,-0.235664764,-0.1128066,0
14,32.1,1603382,99999999,844683,16377,953990,22,-0.193546938,-0.235664764,-0.1128066,0
17,16.9,1875918,402512,635075,29302,1208324,29,0.180264064,0.583192905,0.126700744,1
13,21.6,353980,99999999,278502,17153,1130956,30,0.180264064,-0.235664764,0.126700744,0
6,10.4,693726,224048,225264,9791,1252958.21,53,-0.193546938,-0.235664764,0.126700744,0
7,27.3,541200,336710,295868,17812,1434538,60,0.180264064,-0.235664764,-0.1128066,0
17,21.3,259050,200200,181222,22140,1193421.863,26,-0.193546938,-0.235664764,0.126700744,0
9,13,163196,220484,127414,19315,1294850,48,0.180264064,-0.235664764,0.013849095,0
6,21.1,0,108042,0,30340,2033931,23,-0.193546938,-0.235664764,0.013849095,0
9,17.8,290246,357522,141626,12607,1292988,58,0.180264064,-0.235664764,0.126700744,0
9,15,639078,99999999,256652,12442,1532920,76,0.180264064,0.583192905,0.126700744,0
10,16,193512,101508,98439,12015,556662,49,0.180264064,-0.235664764,0.126700744,1
11,30.2,433620,642246,307838,23170,1235741,31,-0.193546938,0.583192905,0.126700744,0
10,9.9,430826,202004,175978,6450,1589464,19,-0.193546938,-0.235664764,0.013849095,0
6,14.8,403216,222794,208943,11596,1262108.464,65,0.180264064,-0.235664764,-0.1128066,0
11,18.1,563156,218504,285000,21604,855608,38,-0.193546938,-0.235664764,0.126700744,0
7,16.5,428890,269500,313006,15904,1551616,45,-0.193546938,-0.235664764,0.126700744,1
19,23.5,1113068,343200,825740,45013,2260050,56,-0.193546938,-0.235664764,0.126700744,0
5,17.5,140624,185746,32072,10744,447659,58,0.180264064,-0.235664764,0.013849095,1
5,22.4,0,338096,0,395,1245792,58,0.180264064,0.583192905,-0.1128066,0
13,21,1359578,783244,549518,20809,1642778,31,-0.193546938,-0.235664764,0.126700744,0
4,25.6,239668,64812,161044,3750,746320,38,0.180264064,-0.235664764,-0.1128066,1
10,16.8,296890,99999999,16150,9123,1338322,30,-0.193546938,-0.235664764,0.126700744,0
18,15.4,1060752,99999999,239096,16406,1215278,32,0.180264064,-0.235664764,-0.68396445,0
11,12.5,391468,221782,50369,23128,861935,9,-0.193546938,0.583192905,-0.68396445,1
17,10.2,354574,382624,912,9187,918707,13,0.180264064,-0.235664764,0.013849095,0
5,17.8,447326,89298,84987,1580,559151,26,-0.193546938,-0.235664764,0.126700744,0
2,10.5,0,76670,0,6432,1150583.833,33,0.092368046,-0.235664764,0.126700744,0
9,8.9,314490,434060,118427,15838,1669731.821,67,0.180264064,-0.235664764,-0.1128066,0
6,7.8,345862,196438,109630,10065,674785,29,0.180264064,-0.235664764,-0.1128066,0
8,4,225082,157586,101479,10207,583281,29,0.180264064,-0.235664764,-0.1128066,0
8,9.9,260172,173514,209399,6283,468312,41,0.180264064,-0.235664764,0.013849095,1
19,18.8,303886,268312,28861,22428,1112383.128,30,0.092368046,0.583192905,0.126700744,1
9,17.7,125642,99999999,62168,21248,1465337,30,0.180264064,-0.235664764,-0.1128066,0
10,13.2,567578,177144,225473,11651,719910,33,0.180264064,0.583192905,0.013849095,0
5,13.7,128700,221892,89034,1225,1245621,18,0.180264064,-0.235664764,-0.68396445,0
11,12,314578,99999999,8417,14211,907098,30,0.180264064,-0.235664764,0.013849095,0
11,23.5,509124,334994,193458,11055,732906,9,0.180264064,0.583192905,0.126700744,0
12,17.4,1242296,54670,952717,29950,2077460,18,-0.193546938,-0.235664764,0.126700744,0
12,21.8,395780,259380,232427,12251,840047,40,0.092368046,-0.235664764,-0.1128066,0
16,22,1506604,142736,230299,14106,1176772.186,69,-0.193546938,-0.235664764,-0.1128066,0
24,22.9,1054592,331298,418969,20600,1716669,39,0.180264064,-0.235664764,-0.1128066,1
24,20.4,908468,220704,400919,18759,673987,25,0.180264064,-0.235664764,0.013849095,1
9,8.9,112684,135212,84664,14629,1186289.062,33,0.180264064,-0.235664764,0.126700744,0
33,15.5,2369664,482702,648755,15379,1729122.997,15,-0.193546938,0.583192905,0.013849095,0
6,15.8,364320,186142,147573,5391,482752,18,0.180264064,-0.235664764,0.126700744,0
4,7.7,108394,54186,50749,1763,1347613,16,0.180264064,-0.235664764,0.013849095,0
7,24.4,383416,176220,226822,14330,1521824,12,-0.193546938,-0.235664764,0.126700744,0
12,18.9,232782,296604,127870,19036,1120440.808,26,-0.193546938,0.583192905,0.126700744,1
16,17.2,790592,336842,102410,13456,892088,42,0.180264064,-0.235664764,0.126700744,1
6,24.8,1042712,220968,14402,816,1261676.27,34,-0.193546938,-0.235664764,0.013849095,0
19,18,1201332,603614,850763,36628,2930275,80,0.092368046,0.583192905,0.013849095,0
2,9.5,38764,107800,12122,9979,893665,33,0.180264064,-0.235664764,0.013849095,0
23,23,14760482,778624,1019806,40227,2126537,22,-0.193546938,0.583192905,0.126700744,0
15,15,581152,227964,235904,15962,1084835.645,65,-0.193546938,0.583192905,0.126700744,1
15,17,953656,615208,407683,14274,1451619,41,-0.193546938,-0.235664764,-0.1128066,0
8,13.9,614020,386584,334077,8748,1947519,63,0.180264064,0.583192905,-0.1128066,0
10,17.5,1749660,788634,991268,42325,2110463.208,40,-0.193546938,-0.235664764,0.126700744,0
10,16.6,695244,217272,429305,27959,3752880,19,0.180264064,-0.235664764,-0.1128066,0
5,29,86372,120868,64752,12271,931950,39,-0.193546938,-0.235664764,0.126700744,0
12,20.5,817498,99999999,502683,24171,1408052,30,-0.193546938,-0.235664764,-0.1128066,0
14,23.1,788194,786016,547295,33766,1727921.768,44,-0.193546938,-0.235664764,0.013849095,1
7,5.2,414656,99999999,156123,10629,500175,30,0.092368046,-0.235664764,0.126700744,0
6,17.8,25784,77924,6821,11935,1076882,17,0.180264064,-0.235664764,0.013849095,1
7,16.4,1026124,509036,458166,10121,1693048.26,28,-0.193546938,-0.235664764,-0.68396445,0
6,14.7,397474,99999999,179873,5360,559341,30,0.180264064,-0.235664764,0.126700744,0
9,13,475222,176044,288534,12172,1062874.338,28,0.180264064,-0.235664764,0.013849095,1
23,24.4,992552,547756,490333,50962,3235681,32,-0.193546938,-0.235664764,0.126700744,0
10,14.6,145442,152064,78622,12332,1594651,64,-0.193546938,-0.235664764,0.126700744,0
16,18.3,348524,99999999,128516,27276,2045692,8,0.180264064,-0.235664764,0.013849095,0
6,9.2,206690,269654,168511,8791,1115697.954,45,-0.193546938,-0.235664764,0.013849095,1
10,16.5,575476,465674,404054,10578,1980237,51,-0.193546938,-0.235664764,-0.1128066,0
25,28.9,604384,437756,280288,21423,1512248,12,0.180264064,-0.235664764,0.126700744,0
10,14.7,518144,389444,222414,13555,956840,41,-0.193546938,0.583192905,0.126700744,1
8,15.8,688908,99999999,428963,16190,1278206,30,0.092368046,-0.235664764,-0.68396445,0
16,15.2,646426,99999999,480681,22798,1402941,30,-0.193546938,-0.235664764,0.013849095,0
14,39.4,438966,446028,78850,41530,4333577,17,-0.193546938,0.583192905,0.126700744,0
6,20.6,148852,100012,82023,4033,1297624,49,0.180264064,-0.235664764,-0.68396445,0
12,13.7,519376,770550,305900,12460,1521064,20,-0.193546938,-0.235664764,0.013849095,0
12,20.5,1103542,511874,121999,33683,1695932.423,23,0.180264064,0.583192905,0.126700744,0
12,12.5,960564,150458,104519,12085,1670670,35,-0.193546938,-0.235664764,0.126700744,0
17,30.3,2205148,788018,1401668,37075,2138906,40,0.092368046,0.583192905,0.013849095,0
14,13.5,174130,271876,134292,33597,1306702.372,34,-0.193546938,-0.235664764,0.013849095,0
8,15.7,520146,437052,431699,32411,2415698,29,0.180264064,-0.235664764,0.013849095,0
23,12.6,606892,200376,165623,15819,1057034.354,38,0.180264064,-0.235664764,0.013849095,1
15,17.6,856438,300982,394972,18451,1310550.068,67,-0.193546938,-0.235664764,0.126700744,0
9,13.7,619542,287584,226860,6096,1127175,23,0.180264064,-0.235664764,0.126700744,0
3,10.2,258214,99999999,161443,11787,604466,30,0.092368046,-0.235664764,-0.1128066,0
7,16.9,177584,99999999,137256,15967,1419300,30,-0.193546938,-0.235664764,0.013849095,0
12,16.5,312598,396308,228950,25797,1090011,31,-0.193546938,0.583192905,0.013849095,1
